,Label,chroma_stft_mean,chroma_stft_std,chroma_cqt_mean,chroma_cqt_std,chroma_cens_mean,chroma_cens_std,chroma_vqt_mean,chroma_vqt_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_contrast_mean,spectral_contrast_std,spectral_flatness_mean,spectral_flatness_std,spectral_rolloff_mean,spectral_rolloff_std,poly_features_mean,poly_features_std,tonnetz_mean,tonnetz_std,zero_crossing_rate_mean,zero_crossing_rate_std
24,kick,0.8774758,0.12546624,0.7560558,0.13815254,0.27536324,0.086651154,0.6480965,0.27421775,0.07945787,1.3787161,-25.599579,134.27466,0.16312912,0.1557773,1367.6665365794242,925.4548666837219,2027.1682114712085,498.6002870312534,11.602027402684115,10.913363978398522,0.010250264,0.02157843,2928.515625,2067.1875,0.4212380205522545,0.80113794986549,-0.0019916083633444042,0.0047087619311166964,0.021755642361111112,0.010918570255728429
25,kick,0.7331884,0.20975858,0.68845457,0.1949844,0.27278244,0.09446196,0.6708658,0.20721611,0.08219165,0.9858425,-22.108164,97.68525,0.14120471,0.08587473,2301.408407013491,725.5396229041535,2270.9572778590614,140.60265943567046,11.91148589520615,10.22446896971815,0.028680429,0.056007314,4593.75,855.807503295299,0.6832508168454708,1.0009437131125278,0.013323532742694119,0.029663609889727438,0.082275390625,0.021166208407430016
26,kick,0.8862205,0.09909066,0.9486347,0.034666013,0.28867516,2.9802322e-08,0.89548916,0.07914865,0.2233148,1.4197193,-24.109015,128.14548,0.2493097,0.0,830.8400921006199,546.0801502039948,1587.722369858887,863.5132100888667,8.017824874464504,9.46238099465042,0.0035836154,0.0027567998,1808.7890625,1341.7564472621443,1.0011157238421957,1.4917740435380649,1.3029164434443038e-05,0.0018381282930087645,0.00390625,0.0
27,kick,0.81382334,0.15662837,0.6740116,0.1984889,0.2678928,0.10754892,0.5872134,0.26713035,0.16671354,1.6691054,-22.355553,117.32103,0.18909743,0.09419614,1529.0387113633737,1130.354475172729,2255.084648777525,798.8690459879326,11.686143731978174,10.90726594445733,0.01858314,0.035897043,3359.1796875,3009.311682489563,0.7815350184944038,1.2618467846240775,0.004903729387400544,0.02677765683698864,0.026312934027777776,0.02340180618578491
28,kick,0.8510474,0.1269417,0.72748125,0.17414744,0.27594033,0.08479547,0.686332,0.1869342,0.13747264,2.0943172,-23.825119,127.25961,0.27192777,0.12232826,990.4068202564495,966.59271879068,1631.5367686372354,775.3002175342534,10.31756315836421,9.659490203898322,0.011626762,0.021733705,1826.015625,2347.7472729598535,0.4516748244170957,0.8109639746960708,0.0017591700188553298,0.005146014182670856,0.0083984375,0.00401935852094857
29,kick,0.86897784,0.1259569,0.7994341,0.14680605,0.2841972,0.05064868,0.71179605,0.2333959,0.15525156,2.1618946,-24.061953,124.50719,0.15291794,0.15908113,1120.6275372147293,607.5806261805532,1986.4143552532682,464.9800091507329,11.477088348747069,11.15191938237183,0.0052140537,0.010176883,2529.1725852272725,1763.3902691766307,0.6124091151744417,1.266474476084132,-0.0010805832125704387,0.02516074511558837,0.01171875,0.007996219608776554
30,kick,0.801774,0.14722426,0.58197683,0.23626138,0.26513466,0.114179455,0.54779094,0.27470565,0.06060156,0.7063566,-23.575989,103.76537,0.11046862,0.10339919,2328.6520394400145,698.8900943223127,2486.9038605127116,134.672882747525,11.501780847523255,11.80435708576994,0.036492687,0.062412977,5157.2021484375,911.4804199085858,0.5898810981955113,1.021183075847349,-0.032245003081399735,0.04168062945800345,0.0721435546875,0.013389393949062115
31,kick,0.80107486,0.17169607,0.71105444,0.1754726,0.26933128,0.10389418,0.64296585,0.23662621,0.16618584,2.097093,-22.96547,125.72732,0.19204903,0.123455666,752.209524460839,1025.54884853656,1254.4763474261672,647.808880867244,11.786845345014221,11.265656789169945,0.015138132,0.044669334,1229.3501420454545,1952.45191898481,0.739619248003628,1.1518505147321711,-0.005938877699189097,0.03241196383257977,0.01034268465909091,0.005175103565976446
32,kick,0.86722934,0.11920789,0.27950376,0.26891026,0.18054421,0.225249,0.29057306,0.3313509,0.16915102,2.338585,-23.313662,142.39154,0.20969552,0.14160167,326.13049792323017,464.63250197257406,955.4865373901679,607.0359773965376,11.471115533306863,9.128711847548114,0.0016965448,0.004816418,579.00390625,1273.6158786648857,0.629747125650296,1.0953080322313322,-0.012814985127355865,0.1347796374919452,0.005208333333333333,0.0010548080563814878
33,kick,0.8326447,0.14172888,0.6725562,0.22263046,0.27177396,0.09732543,0.6037457,0.22585158,0.034520213,0.60101426,-25.989145,129.80113,0.06418595,0.07735664,1263.901164497016,492.2228266068246,1832.5422781087125,166.07987905244954,12.166248333689259,11.025224139528301,0.0066597387,0.020407323,3082.32421875,837.1031831698356,0.26707175704035885,0.5900874016358297,-0.004463832341152711,0.03448625488838587,0.027448381696428572,0.00667122229475721
